open_time,open,high,low,close,volume,quote_asset_volume,trades,taker_base,taker_quote,ignore
2025-11-03 23:16:00,106315.64,106315.65,106266.42,106287.57,8.32402,884718.9673685,2093,3.51548,373602.3039948,0
2025-11-03 23:17:00,106287.57,106341.81,106287.56,106341.81,7.96132,846438.0477711,3060,1.7276,183670.9923616,0
2025-11-03 23:18:00,106341.81,106364.19,106322.4,106322.4,17.80587,1893632.7749287,2020,1.34379,142908.2360561,0
2025-11-03 23:19:00,106322.41,106331.03,106309.99,106331.02,3.35131,356312.5570537,1271,0.90606,96330.5865884,0
2025-11-03 23:20:00,106331.02,106376.32,106331.01,106376.32,3.02801,322039.9146879,1410,1.55419,165294.1821117,0
2025-11-03 23:21:00,106376.32,106458.24,106376.32,106458.24,4.91283,522839.5215855,2013,4.30408,458063.4022375,0
2025-11-03 23:22:00,106458.24,106530.89,106400.0,106413.02,13.70328,1459353.3031445,5274,5.4634,581790.7099743,0
2025-11-03 23:23:00,106413.03,106442.65,106339.34,106403.79,13.52901,1439310.8684256,6246,4.45743,474201.7546533,0
2025-11-03 23:24:00,106403.78,106469.27,106403.78,106440.0,13.96464,1486330.2319416,3609,5.86891,624673.1821929,0
2025-11-03 23:25:00,106439.99,106534.05,106430.97,106534.05,15.09841,1607686.2978516,2378,9.34566,995089.976878,0
2025-11-03 23:26:00,106534.04,106534.04,106490.61,106494.39,9.99667,1064711.1418864,2380,3.24099,345158.012495,0
2025-11-03 23:27:00,106494.39,106513.81,106484.89,106513.8,6.7264,716399.3972354,1238,1.42011,151248.5548011,0
2025-11-03 23:28:00,106513.81,106513.81,106491.21,106498.23,4.11692,438450.6482212,1251,2.14299,228218.172569,0
2025-11-03 23:29:00,106498.22,106509.61,106440.73,106440.73,6.98862,744171.7568143,2409,1.3755,146488.6250239,0
2025-11-03 23:30:00,106440.72,106443.33,106417.33,106443.33,8.21772,874639.6124687,1677,4.42152,470573.8103797,0
2025-11-03 23:31:00,106443.32,106534.05,106443.32,106494.0,12.34215,1314575.2312309,3076,4.39573,468097.6229213,0
2025-11-03 23:32:00,106494.0,106494.01,106454.0,106457.14,2.9802,317290.2541234,1405,0.43088,45871.4168987,0
2025-11-03 23:33:00,106457.15,106500.0,106457.14,106500.0,4.65328,495484.603185,1696,1.54836,164871.4266644,0
2025-11-03 23:34:00,106500.0,106598.46,106499.99,106580.97,28.60857,3048500.022699,3142,17.6752,1883401.808686,0
2025-11-03 23:35:00,106580.98,106646.55,106580.97,106598.23,15.73183,1677217.7706604,3288,9.42254,1004507.0205426,0
2025-11-03 23:36:00,106598.24,106603.63,106554.81,106554.81,5.61957,598957.2105551,2639,0.95359,101640.6722805,0
2025-11-03 23:37:00,106554.82,106637.9,106554.81,106637.9,6.51379,694369.7401463,2433,3.70123,394535.0248037,0
2025-11-03 23:38:00,106637.9,106663.01,106635.21,106646.51,6.26022,667642.0145931,3226,2.54202,271098.6719232,0
2025-11-03 23:39:00,106646.51,106664.64,106646.51,106650.37,4.82408,514538.3858729,1534,2.26736,241833.2170937,0
2025-11-03 23:40:00,106650.37,106750.0,106650.36,106744.23,14.35519,1531765.8343555,4291,11.89698,1269418.7372771,0
2025-11-03 23:41:00,106744.24,106744.24,106624.16,106660.96,17.68339,1886350.7943875,5748,4.5673,487118.6557334,0
2025-11-03 23:42:00,106660.95,106691.65,106657.84,106657.84,5.27901,563170.0083594,2168,2.44107,260410.6524087,0
2025-11-03 23:43:00,106657.83,106657.84,106633.58,106645.97,11.55801,1232575.1658279,3882,4.65182,496067.0745863,0
2025-11-03 23:44:00,106645.98,106655.43,106596.14,106618.51,19.51173,2080393.5711183,4337,5.15315,549440.269417,0
2025-11-03 23:45:00,106618.51,106669.92,106618.51,106651.44,14.81303,1579659.6648236,3686,9.4944,1012444.802266,0
2025-11-03 23:46:00,106651.43,106651.44,106584.89,106584.9,14.18273,1512165.7659854,5766,3.59232,382997.7332383,0
2025-11-03 23:47:00,106584.9,106584.9,106511.19,106523.16,11.15579,1188521.5075485,5834,3.86601,411860.3863005,0
2025-11-03 23:48:00,106523.17,106536.38,106482.39,106507.3,7.94429,846085.844456,4115,3.48259,370886.6007985,0
2025-11-03 23:49:00,106507.3,106550.61,106482.93,106520.34,8.73933,930837.1922596,2923,6.34124,675386.9578031,0
2025-11-03 23:50:00,106520.34,106532.78,106493.07,106505.84,7.75191,825671.856581,4029,3.42791,365106.7714975,0
2025-11-03 23:51:00,106505.84,106524.98,106464.0,106506.27,12.23886,1303500.4805645,4638,5.16723,550315.4096884,0
2025-11-03 23:52:00,106506.28,106569.01,106506.27,106522.09,5.96477,635536.4156937,3086,3.06753,326835.2675659,0
2025-11-03 23:53:00,106522.09,106533.95,106496.24,106517.08,5.97538,636443.8167655,2826,4.02302,428480.392831,0
2025-11-03 23:54:00,106517.07,106569.17,106517.07,106541.79,8.43103,898256.2020421,3261,4.31841,460098.5285953,0
2025-11-03 23:55:00,106541.8,106618.18,106541.79,106589.98,10.43102,1111732.0763431,2958,8.50039,905923.5493368,0
2025-11-03 23:56:00,106589.99,106633.59,106584.25,106633.59,5.71977,609790.8314575,3022,3.70339,394823.3413562,0
2025-11-03 23:57:00,106633.59,106649.08,106607.44,106622.12,6.80078,725161.786255,2233,4.05209,432066.8983782,0
2025-11-03 23:58:00,106622.12,106622.12,106565.17,106565.17,7.47973,797325.6409741,2115,2.21323,235907.1658924,0
2025-11-03 23:59:00,106565.17,106583.05,106565.17,106583.04,4.12773,439902.5004191,1010,2.90704,309815.4346501,0
2025-11-04 00:00:00,106583.05,106623.12,106484.4,106484.4,10.14515,1080964.5724492,5422,3.49622,372515.8582948,0
2025-11-04 00:01:00,106484.4,106484.41,106439.92,106468.07,6.13673,653346.6491006,4710,1.63428,173984.567519,0
2025-11-04 00:02:00,106468.08,106484.41,106419.44,106437.19,37.93629,4037929.74603,4607,5.65811,602260.7983289,0
2025-11-04 00:03:00,106437.2,106479.56,106437.2,106446.51,19.93649,2122422.0123225,3758,4.63089,493016.0597623,0
